label,text
atis_city, what cities are served by canadian airlines international
atis_flight, i want to fly from milwaukee to orlando on wednesday evening
atis_flight, show me all the flights between oakland and denver
atis_flight, may i have a listing of flights from long beach california to columbus ohio on wednesday
atis_ground_service, is there transportation from the atlanta airport to downtown atlanta
atis_flight, what are the flights and prices from la to charlotte for monday morning
atis_flight, is there a flight from philadelphia to oakland with a stop in dallas
atis_flight, i would like to see the flights available from pittsburgh to san francisco for monday
atis_flight, what are the flights from denver to baltimore on august tenth
atis_ground_service, can you tell me about ground transportation between the dallas airport and downtown dallas
atis_flight, give me the flights from pittsburgh to los angeles thursday evening
atis_flight, show me all flights from chicago to kansas city on thursday june seventeenth arriving in kansas city at around 7 o'clock in the evening
atis_city, what time zone is denver in
atis_flight, show me all flights from new york to miami on a tuesday with round trip fare less than 932 dollars
atis_airfare, what are the coach fares from charlotte to la wednesday night
atis_flight, please find a flight on delta from philadelphia to san francisco and give me the flight numbers
atis_flight, i would like to fly delta airlines from atlanta to pittsburgh
atis_flight, flights from chicago to denver on continental on saturday morning
atis_ground_service, please give me ground transportation information for denver
atis_flight, find me the earliest boston departure for atlanta and the lastest return trip from atlanta so that i can be in atlanta the longest amount of time but return to boston the same day
atis_flight, show me flights from denver to san francisco on wednesday
atis_flight, i would like to find the least expensive flight from boston to denver
atis_flight, are there any flights next monday morning from pittsburgh to san francisco
atis_flight, does continental airlines fly from pittsburgh to atlanta
atis_ground_fare, how much is the ground transportation between atlanta and downtown
atis_city, which cities does united airlines service
atis_flight, show me all flights from san diego to dulles on boeing 767
atis_flight, show me flights from baltimore to philadelphia
atis_flight, flight from philadelphia to dallas arriving before 4 pm on saturday
atis_flight, flight information on january twenty third 1992 from denver to san francisco
atis_flight, i'd like to fly from philadelphia to dallas through atlanta
atis_ground_service, and i'll need ground transportation for tuesday july sixth to wednesday july seventh in san diego
atis_flight, show me flights from denver to washington dc wednesday
atis_airfare, show me all first class prices from dallas to baltimore
atis_flight, show me all flights that arrive in philadelphia from baltimore denver or pittsburgh
atis_airfare, what is the cost of round trip ticket first class between oakland and atlanta
atis_flight, do you fly a 747 from baltimore to san francisco
atis_flight, find a flight from charlotte to las vegas that stop in st. louis that serve dinner and i want to find the airline for this flight
atis_airfare, round trip fare from baltimore to philadelphia less than 1000 dollars
atis_flight, find travel arrangements for a round trip flight from dallas to pittsburgh arriving after 8 pm
atis_airfare, show me all prices of economy from baltimore to dallas
atis_flight, list the flights on wednesday from denver to washington arriving in washington between 1115 am and 1245 pm
atis_ground_service, tell me about ground transportation at toronto
atis_flight, what flights are available from boston to dallas
atis_abbreviation, what is restriction ap 80
atis_flight, i'm flying from boston to dallas
atis_airport, airports
atis_airline, does any airline have an early afternoon flight from boston to denver
atis_flight_time, please list the flight times from newark to boston
atis_airline, does any airline have a jet flight between pittsburgh and baltimore
atis_ground_service, i need information on ground transportation between airport and downtown in the city of boston
atis_flight, please list available flights for next saturday from philadelphia to dallas
atis_flight, does american airline fly from denver to pittsburgh
atis_airline, what kind of airline is flight ua 281 from boston to denver
atis_flight, show me flights from san francisco to dallas please
atis_flight, list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia
atis_flight, i want a evening flight from dallas to milwaukee
atis_flight, please list the flights from st. paul to kansas city on friday night that serve meals
atis_flight, list all flights on continental from denver to chicago on sunday which depart after 934 pm
atis_flight, show me flights on september twenty sixth please
atis_ground_service, is there a limousine service available from the pittsburgh airport
atis_flight, i would like to book an early morning flight from tampa to charlotte on april sixth
atis_flight, list the takeoffs and landings at general mitchell international
atis_flight, flights from newark to cleveland daily
atis_ground_service, is there any ground transportation to the city in dallas
atis_flight, what is the cheapest flight from atlanta to pittsburgh one way
atis_flight, what flights leave from phoenix to nashville on american airlines
atis_airfare, list all round trip fares from st. petersburg to washington
atis_flight, what afternoon flights are available from atlanta to san francisco
atis_flight, list all flights from boston to atlanta before 5 o'clock am on thursday
atis_flight, i'd like a flight from san diego to toronto on alaska airlines leaving around 1 pm
atis_flight, on eastern flight 825 from atlanta to denver can you tell me what type of aircraft used before 12 noon
atis_flight, i would like information on flights from baltimore to atlanta on thursday arriving in atlanta before 6 pm
atis_aircraft, i'm going to leave philadelphia and i want to go to san francisco and i want to fly first class american and i want a stop in dallas can you please tell me what type of aircraft you will be flying
atis_flight, flights from phoenix to milwaukee on wednesday evening
atis_flight, list daily flights from oakland to boston using delta airlines
atis_flight, flights from las vegas to phoenix
atis_ground_service, what limousine service in los angeles
atis_flight, show me the first class flights from denver to baltimore
atis_airline, show me the airlines
atis_flight, show me all the us air flights leaving pittsburgh between 12 and 4 in the afternoon
atis_flight, show me all flights from pittsburgh to philadelphia which arrive before 8 o'clock am on wednesday
atis_flight, what flights from kansas city to chicago next wednesday arrive at chicago at about 7 pm
atis_quantity, how many flights does delta have with a class of service code f
atis_ground_service, is there ground transportation in oakland
atis_flight, i'd like to see the flights from denver to philadelphia again
atis_flight, show me all flights from san francisco to oakland
atis_flight, when can i fly from philadelphia to dallas on a saturday morning
atis_ground_service, show me ground transportation information for san francisco
atis_ground_service, ground transport phoenix
atis_quantity, how many first class flights does united have today
atis_flight, show me all flights from san francisco to pittsburgh which arrive in pittsburgh before 9 o'clock am tomorrow
atis_flight, what is the earliest flight from washington to san francisco on friday that serves breakfast
atis_airfare, i'd like to know the price of first class seats from atlanta to san francisco
atis_flight, show me the cheapest flight arriving in baltimore on june fourteenth starting from dallas
atis_flight, show all flights from miami to jfk
atis_flight, what flights are there from dallas to houston
atis_flight, show me the flights on twa from atlanta in the morning
atis_aircraft, okay i would like to know the type of aircraft used on a flight from cleveland to dallas please
atis_airfare, what's the cheapest one way ticket from baltimore to atlanta
atis_flight, what are the classes of service for continental airlines
atis_flight, list all flights from baltimore to atlanta after 12 noon thursday
atis_flight, flight on monday from philadelphia to oakland california early morning
atis_flight, show me the flights from denver to san francisco
atis_airfare, show me all fares from new york to miami leaving on a tuesday
atis_flight, hi i'd like a flight from tampa to montreal
atis_flight, i want to fly from miami to chicago on american airlines and arrive at around 5 o'clock in the afternoon show me all flights
atis_flight, i need a list of late afternoon flights from chicago to milwaukee
atis_flight, what flights go from tampa to charlotte on sunday
atis_flight, show me flights from new york to miami on a tuesday with a round trip fare less than 466 dollars
atis_flight, show me the flights out of love field
atis_flight, what are the flights on tuesday october first from atlanta to baltimore
atis_airfare, what is the cheapest round trip fare from pittsburgh to atlanta
atis_flight, is there a delta flight from denver to san francisco
atis_airfare, show me the cheapest one way fares from san diego to miami
atis_airline, show me a list of all the airlines that offer business class service
atis_flight, find travel arrangements for a round trip flight from baltimore to pittsburgh after 8 o'clock pm before 10 o'clock pm
atis_flight, okay all right do you have a flight on united airlines from atlanta to washington
atis_flight, i need to fly from dallas to san francisco and be in san francisco by 4 pm
atis_flight, show me all flights from indianapolis to montreal
atis_flight, show me flights from atlanta to baltimore
atis_flight, all right what do you have from oakland to philadelphia on wednesday
atis_flight, can you give me information on all the flights from san francisco no from pittsburgh to san francisco on monday
atis_flight, list the morning flights at a 124 dollars from atlanta to boston
atis_flight, show me all us air flights from atlanta to denver for the day after tomorrow
atis_flight, what is the latest flight departing from boston to san francisco
atis_airfare, find the cheapest one way fare from boston to oakland
atis_flight, i would like a flight between boston and atlanta on any day at one in the afternoon
atis_flight, show me the flights from newark to los angeles
atis_flight, please list all united flights between pittsburgh and baltimore
atis_flight, show me flights from pittsburgh to dc
atis_flight, list flights from pittsburgh to los angeles which leave on thursday after 5 pm
atis_flight, show me the flights from boston to oakland
atis_flight, list all daily flights between boston and oakland using american airlines
atis_quantity, how many airlines fly from new york to los angeles by way of milwaukee
atis_flight, show me flights to san francisco from philadelphia stopping in dallas
atis_ground_service, please list ground transport in san francisco
atis_flight, i need to take ten people from denver to san diego with a stopover in phoenix please give me the flights
atis_airfare, what is the cost of flight dl 106 from philadelphia to boston
atis_flight, i'd like to see flights from baltimore to atlanta that arrive before noon and i'd like to see flights from denver to atlanta that arrive before noon
atis_flight, i want the list of daily flights from milwaukee to st. louis
atis_flight, flights from ontario to florida
